player,season,chance_of_playing_this_round,date,element
Gabriel Fernando de Jesus,2019-20,100.0,02/02/2020,211
Gabriel Teodoro Martinelli Silva,2019-20,100.0,02/02/2020,504
Gary Cahill,2019-20,100.0,01/02/2020,503
Gavin Kilkenny,2019-20,100.0,01/02/2020,565
Gaëtan Bong,2019-20,,01/02/2020,41
Gedson Carvalho Fernandes,2019-20,100.0,02/02/2020,605
Georges-Kévin Nkoudou,2019-20,,02/02/2020,527
George Baldock,2019-20,100.0,01/02/2020,294
Georginio Wijnaldum,2019-20,100.0,01/02/2020,199
Gerard Deulofeu,2019-20,100.0,01/02/2020,363
Giovani Lo Celso,2019-20,100.0,02/02/2020,523
Giovanni McGregor,2019-20,100.0,01/02/2020,608
Glenn Murray,2019-20,100.0,01/02/2020,44
Gonçalo Bento Soares Cardoso,2019-20,100.0,01/02/2020,594
Grady Diangana,2019-20,,01/02/2020,398
Granit Xhaka,2019-20,100.0,02/02/2020,18
Grant Hanley,2019-20,100.0,01/02/2020,277
Gylfi Sigurdsson,2019-20,100.0,01/02/2020,151
Hamza Choudhury,2019-20,100.0,01/02/2020,180
Harry Kane,2019-20,,02/02/2020,338
Harry Lewis,2019-20,100.0,01/02/2020,548
Harry Maguire,2019-20,100.0,01/02/2020,160
Harry Wilson,2019-20,100.0,01/02/2020,505
Harry Winks,2019-20,100.0,02/02/2020,347
Harvey Barnes,2019-20,100.0,01/02/2020,172
Harvey Elliott,2019-20,100.0,01/02/2020,550
Henrikh Mkhitaryan,2019-20,,02/02/2020,16
Henri Lansbury,2019-20,100.0,01/02/2020,35
Heung-Min Son,2019-20,100.0,02/02/2020,342
Heurelho da Silva Gomes,2019-20,100.0,01/02/2020,513
Hugo Lloris,2019-20,100.0,02/02/2020,340
Héctor Bellerín,2019-20,100.0,02/02/2020,2
Hélder Costa,2019-20,,01/02/2020,418
Ibrahim Amadou,2019-20,75.0,01/02/2020,507
Idrissa Gueye,2019-20,,01/02/2020,156
Ignacio Pussetto,2019-20,100.0,01/02/2020,604
Ilkay Gündogan,2019-20,100.0,02/02/2020,222
Indiana Vassilev,2019-20,100.0,01/02/2020,600
Isaac Hayden,2019-20,100.0,01/02/2020,271
Isaac Success Ajayi,2019-20,100.0,01/02/2020,365
Ismaïla Sarr,2019-20,,01/02/2020,525
Issa Diop,2019-20,100.0,01/02/2020,381
Ivan Cavaleiro,2019-20,,01/02/2020,419
Jack Colback,2019-20,,01/02/2020,482
Jack Cork,2019-20,100.0,02/02/2020,102
Jack Grealish,2019-20,100.0,01/02/2020,29
Jack O'Connell,2019-20,100.0,01/02/2020,293
Jack Robinson,2019-20,100.0,01/02/2020,611
Jack Rodwell,2019-20,100.0,01/02/2020,591
Jack Simpson,2019-20,100.0,01/02/2020,66
Jack Stacey,2019-20,,01/02/2020,446
Jack Stephens,2019-20,100.0,01/02/2020,308
Jack Wilshere,2019-20,,01/02/2020,394
Jacob Murphy,2019-20,,01/02/2020,483
Jairo Riedewald,2019-20,100.0,01/02/2020,539
Jake Eastwood,2019-20,100.0,01/02/2020,299
Jamaal Lascelles,2019-20,100.0,01/02/2020,258
Jamal Lewis,2019-20,100.0,01/02/2020,276
James Chester,2019-20,100.0,01/02/2020,23
James Daly,2019-20,100.0,01/02/2020,581
James Garner,2019-20,100.0,01/02/2020,250
James Justin,2019-20,100.0,01/02/2020,433
James Maddison,2019-20,100.0,01/02/2020,171
James McArthur,2019-20,100.0,01/02/2020,138
James McCarthy,2019-20,100.0,01/02/2020,157
James Milner,2019-20,50.0,01/02/2020,200
James Tarkowski,2019-20,100.0,02/02/2020,84
James Tomkins,2019-20,100.0,01/02/2020,124
James Ward-Prowse,2019-20,100.0,01/02/2020,321
Jamie Vardy,2019-20,100.0,01/02/2020,166
Jannik Vestergaard,2019-20,100.0,01/02/2020,304
Jan Bednarek,2019-20,100.0,01/02/2020,307
Jan Vertonghen,2019-20,100.0,02/02/2020,330
Japhet Tanganga,2019-20,100.0,02/02/2020,583
Javier Hernández Balcázar,2019-20,,01/02/2020,386
Javier Manquillo,2019-20,,01/02/2020,256
Jay Rodriguez,2019-20,100.0,02/02/2020,451
Jean-Philippe Gbamin,2019-20,,01/02/2020,497
Jed Steer,2019-20,,01/02/2020,429
Jefferson Lerma,2019-20,100.0,01/02/2020,82
Jeffrey Schlupp,2019-20,,01/02/2020,137
Jeff Hendrick,2019-20,100.0,02/02/2020,100
Jeremy Ngakia,2019-20,100.0,01/02/2020,593
Jesse Lingard,2019-20,100.0,01/02/2020,241
Jesús Vallejo Lázaro,2019-20,,01/02/2020,473
Jetro Willems,2019-20,,01/02/2020,498
Joelinton Cássio Apolinário de Lira,2019-20,100.0,01/02/2020,466
Joel Matip,2019-20,100.0,01/02/2020,185
Joel Ward,2019-20,100.0,01/02/2020,126
Joe Hart,2019-20,100.0,02/02/2020,95
Johann Berg Gudmundsson,2019-20,75.0,02/02/2020,96
John Egan,2019-20,100.0,01/02/2020,295
John Fleck,2019-20,100.0,01/02/2020,301
John Lundstram,2019-20,100.0,01/02/2020,297
John McGinn,2019-20,,01/02/2020,31
John Ruddy,2019-20,100.0,01/02/2020,412
John Stones,2019-20,100.0,02/02/2020,207
Jonas Lössl,2019-20,100.0,01/02/2020,479
Jonathan Castro Otto,2019-20,100.0,01/02/2020,402
Jonathan Kodjia,2019-20,,01/02/2020,26
Jonjo Shelvey,2019-20,50.0,01/02/2020,269
Jonny Evans,2019-20,100.0,01/02/2020,162
Jordan Ayew,2019-20,100.0,01/02/2020,468
Jordan Henderson,2019-20,100.0,01/02/2020,198
Jordan Pickford,2019-20,100.0,01/02/2020,148
Jordon Ibe,2019-20,100.0,01/02/2020,78
Jorge Luiz Frello Filho,2019-20,100.0,01/02/2020,118
Jose Luis Mato Sanmartín,2019-20,,01/02/2020,261
Joseph Anang,2019-20,100.0,01/02/2020,582
Joseph Gomez,2019-20,100.0,01/02/2020,184
Joseph Willock,2019-20,100.0,02/02/2020,490
Joshua King,2019-20,,01/02/2020,68
Josh Brownhill,2019-20,,02/02/2020,620
Josip Drmic,2019-20,100.0,01/02/2020,434
José Diogo Dalot Teixeira,2019-20,100.0,01/02/2020,229
José Heriberto Izquierdo Mena,2019-20,,01/02/2020,51
José Ignacio Peleteiro Romallo,2019-20,100.0,01/02/2020,36
José Ángel Esmorís Tasende,2019-20,100.0,02/02/2020,440
José Holebas,2019-20,100.0,01/02/2020,353
José Reina,2019-20,100.0,01/02/2020,603
João Filipe Iria Santos Moutinho,2019-20,100.0,01/02/2020,415
João Pedro Cavaco Cancelo,2019-20,100.0,02/02/2020,518
João Pedro Junqueira de Jesus,2019-20,75.0,01/02/2020,592
Juan Foyth,2019-20,100.0,02/02/2020,335
Juan Mata,2019-20,100.0,01/02/2020,242
Junior Stanislas,2019-20,,01/02/2020,77
Jürgen Locadia,2019-20,,01/02/2020,45
Karl Darlow,2019-20,100.0,01/02/2020,263
Kasper Schmeichel,2019-20,100.0,01/02/2020,168
Kayne Ramsay,2019-20,100.0,01/02/2020,311
Keinan Davis,2019-20,100.0,01/02/2020,34
Kelechi Iheanacho,2019-20,100.0,01/02/2020,167
Kelland Watts,2019-20,,01/02/2020,599
Kenny McLean,2019-20,100.0,01/02/2020,286
Ken Sema,2019-20,,01/02/2020,372
Kepa Arrizabalaga,2019-20,100.0,01/02/2020,111
Kevin Danso,2019-20,100.0,01/02/2020,532
Kevin De Bruyne,2019-20,100.0,02/02/2020,215
Kevin Long,2019-20,100.0,02/02/2020,88
Kieran Tierney,2019-20,,02/02/2020,515
Kieran Trippier,2019-20,,02/02/2020,334
Kieron Freeman,2019-20,100.0,01/02/2020,292
Konstantinos Mavropanos,2019-20,,02/02/2020,8
Kortney Hause,2019-20,100.0,01/02/2020,25
Kurt Zouma,2019-20,100.0,01/02/2020,459
Kyle Walker-Peters,2019-20,100.0,01/02/2020,337
Kyle Walker,2019-20,100.0,02/02/2020,203
Laurent Koscielny,2019-20,,02/02/2020,7
Leander Dendoncker,2019-20,100.0,01/02/2020,420
Leandro Trossard,2019-20,100.0,01/02/2020,421
Lee Grant,2019-20,100.0,01/02/2020,237
Leighton Baines,2019-20,100.0,01/02/2020,145
Leon Balogun,2019-20,100.0,01/02/2020,40
Leon Clarke,2019-20,100.0,01/02/2020,547
Leroy Sané,2019-20,,02/02/2020,216
Lewis Cook,2019-20,100.0,01/02/2020,79
Lewis Dunk,2019-20,100.0,01/02/2020,42
Lewis Gibson,2019-20,100.0,01/02/2020,477
Liam Gibson,2019-20,100.0,01/02/2020,610
Lloyd Kelly,2019-20,75.0,01/02/2020,64
Lovre Kalinic,2019-20,,01/02/2020,474
Lucas Digne,2019-20,100.0,01/02/2020,141
Lucas Rodrigues Moura da Silva,2019-20,100.0,02/02/2020,345
Lucas Torreira,2019-20,100.0,02/02/2020,19
Lukasz Fabianski,2019-20,100.0,01/02/2020,388
Lukas Rupp,2019-20,100.0,01/02/2020,602
Luka Milivojevic,2019-20,100.0,01/02/2020,134
Luke Amos,2019-20,,02/02/2020,351
Luke Cundle,2019-20,100.0,01/02/2020,567
Luke Dreher,2019-20,100.0,01/02/2020,140
Luke Freeman,2019-20,100.0,01/02/2020,441
Luke Shaw,2019-20,100.0,01/02/2020,226
Lys Mousset,2019-20,100.0,01/02/2020,70
Maarten Stekelenburg,2019-20,100.0,01/02/2020,149
Mace Goodridge,2019-20,100.0,02/02/2020,571
Mahmoud Ahmed Ibrahim Hassan,2019-20,100.0,01/02/2020,465
Mamadou Sakho,2019-20,,01/02/2020,125
Manuel Lanzini,2019-20,100.0,01/02/2020,391
Marcos Alonso,2019-20,100.0,01/02/2020,103
Marcos Rojo,2019-20,,01/02/2020,227
Marco Stiepermann,2019-20,100.0,01/02/2020,285
Marcus Rashford,2019-20,,01/02/2020,233
Marc Albrighton,2019-20,100.0,01/02/2020,174
Marc Navarro,2019-20,,01/02/2020,360
Mario Lemina,2019-20,,01/02/2020,324
Mario Vrancic,2019-20,100.0,01/02/2020,282
Marko Arnautovic,2019-20,,01/02/2020,385
Mark Duffy,2019-20,,01/02/2020,300
Mark Noble,2019-20,100.0,01/02/2020,396
Mark Travers,2019-20,100.0,01/02/2020,74
Martin Dubravka,2019-20,100.0,01/02/2020,262
Martin Kelly,2019-20,100.0,01/02/2020,128
Martín Montoya,2019-20,100.0,01/02/2020,38
Marvelous Nakamba,2019-20,100.0,01/02/2020,491
Mason Greenwood,2019-20,100.0,01/02/2020,234
Mason Holgate,2019-20,100.0,01/02/2020,478
Mason Mount,2019-20,100.0,01/02/2020,463
Matej Vydra,2019-20,100.0,02/02/2020,92
Mateo Kovacic,2019-20,100.0,01/02/2020,432
Mathew Ryan,2019-20,100.0,01/02/2020,47
Matteo Darmian,2019-20,,01/02/2020,230
Matteo Guendouzi,2019-20,100.0,02/02/2020,21
Matthew Clarke,2019-20,,01/02/2020,43
Matthew Longstaff,2019-20,100.0,01/02/2020,540
Matthew Lowton,2019-20,100.0,02/02/2020,85
Matty James,2019-20,,01/02/2020,177
Matt Doherty,2019-20,100.0,01/02/2020,401
Matt Ritchie,2019-20,100.0,01/02/2020,251
Matt Targett,2019-20,100.0,01/02/2020,309
Maximillian Aarons,2019-20,100.0,01/02/2020,274
Max Kilman,2019-20,100.0,01/02/2020,408
Max Meyer,2019-20,100.0,01/02/2020,136
Maya Yoshida,2019-20,100.0,01/02/2020,310
Mbwana Samatta,2019-20,100.0,01/02/2020,613
Mesut Özil,2019-20,100.0,02/02/2020,15
Michael Keane,2019-20,100.0,01/02/2020,143
Michael McGovern,2019-20,100.0,01/02/2020,281
Michael Obafemi,2019-20,100.0,01/02/2020,314
Michael Verrips,2019-20,100.0,01/02/2020,521
Michail Antonio,2019-20,75.0,01/02/2020,389
Michel Vorm,2019-20,100.0,02/02/2020,555
Michy Batshuayi,2019-20,100.0,01/02/2020,461
Miguel Almirón,2019-20,100.0,01/02/2020,266
Mihai-Alexandru Dobre,2019-20,100.0,01/02/2020,574
Mohamed Elneny,2019-20,,02/02/2020,20
Mohamed Elyounoussi,2019-20,,01/02/2020,322
Mohamed Salah,2019-20,100.0,01/02/2020,191
Moise Kean,2019-20,100.0,01/02/2020,496
Morgan Gibbs-White,2019-20,100.0,01/02/2020,416
Morgan Schneiderlin,2019-20,100.0,01/02/2020,158
Moritz Leitner,2019-20,100.0,01/02/2020,288
Moussa Djenepo,2019-20,100.0,01/02/2020,438
Moussa Sissoko,2019-20,,02/02/2020,349
Muhamed Bešić,2019-20,100.0,01/02/2020,522
N'Golo Kanté,2019-20,100.0,01/02/2020,119
Nabil Bentaleb,2019-20,100.0,01/02/2020,612
Naby Keita,2019-20,100.0,01/02/2020,196
Nacho Monreal,2019-20,,02/02/2020,6
Nampalys Mendy,2019-20,,01/02/2020,179
Nathaniel Chalobah,2019-20,75.0,01/02/2020,374
Nathaniel Phillips,2019-20,,01/02/2020,589
Nathan Aké,2019-20,100.0,01/02/2020,59
Nathan Holland,2019-20,,01/02/2020,568
Nathan Redmond,2019-20,100.0,01/02/2020,320
Neal Maupay,2019-20,100.0,01/02/2020,502
Neco Williams,2019-20,100.0,01/02/2020,575
Neil Taylor,2019-20,100.0,01/02/2020,24
Nemanja Matic,2019-20,,01/02/2020,247
Nick Pope,2019-20,100.0,02/02/2020,93
Nicolas Pépé,2019-20,100.0,02/02/2020,488
Nicolás Otamendi,2019-20,100.0,02/02/2020,208
Nya Kirby,2019-20,100.0,01/02/2020,588
Oleksandr Zinchenko,2019-20,100.0,02/02/2020,206
Oliver McBurnie,2019-20,100.0,01/02/2020,501
Oliver Norwood,2019-20,100.0,01/02/2020,302
Oliver Skipp,2019-20,100.0,02/02/2020,352
Olivier Giroud,2019-20,75.0,01/02/2020,110
Ondrej Duda,2019-20,100.0,01/02/2020,601
Onel Hernández,2019-20,100.0,01/02/2020,284
Oriol Romeu Vidal,2019-20,100.0,01/02/2020,328
Oskar Buur,2019-20,100.0,01/02/2020,587
Oumar Niasse,2019-20,100.0,01/02/2020,570
Owen Otasowie,2019-20,100.0,01/02/2020,566
Pablo Fornals,2019-20,100.0,01/02/2020,399
Pablo Marí,2019-20,100.0,02/02/2020,617
Pablo Zabaleta,2019-20,100.0,01/02/2020,379
Pascal Groß,2019-20,100.0,01/02/2020,49
Patrick Cutrone,2019-20,,01/02/2020,487
Patrick Roberts,2019-20,,01/02/2020,435
Patrick van Aanholt,2019-20,100.0,01/02/2020,123
Paulo Gazzaniga,2019-20,100.0,02/02/2020,341
Paul Dummett,2019-20,,01/02/2020,255
Paul Pogba,2019-20,,01/02/2020,238
Pedro Lomba Neto,2019-20,100.0,01/02/2020,528
Pedro Obiang,2019-20,,01/02/2020,400
Pedro Rodríguez Ledesma,2019-20,100.0,01/02/2020,114
Philip Billing,2019-20,75.0,01/02/2020,476
Philip Heise,2019-20,,01/02/2020,484
Phil Bardsley,2019-20,75.0,02/02/2020,86
Phil Foden,2019-20,100.0,02/02/2020,220
Phil Jagielka,2019-20,100.0,01/02/2020,444
Phil Jones,2019-20,100.0,01/02/2020,231
Pierre-Emerick Aubameyang,2019-20,100.0,02/02/2020,11
Pierre-Emile Højbjerg,2019-20,100.0,01/02/2020,325
Pontus Dahlberg,2019-20,100.0,01/02/2020,367
Rachid Ghezzal,2019-20,,01/02/2020,173
Rafael Camacho,2019-20,,01/02/2020,201
Raheem Sterling,2019-20,100.0,02/02/2020,214
Ralf Fahrmann,2019-20,100.0,01/02/2020,449
Ravel Morrison,2019-20,100.0,01/02/2020,456
Raúl Jiménez,2019-20,100.0,01/02/2020,409
Reece James,2019-20,75.0,01/02/2020,506
Reiss Nelson,2019-20,,02/02/2020,489
Rhian Brewster,2019-20,,01/02/2020,464
Rhu-endly Martina,2019-20,100.0,01/02/2020,577
Ricardo Domingos Barbosa Pereira,2019-20,100.0,01/02/2020,159
Richairo Zivkovic,2019-20,,01/02/2020,622
Richard Stearman,2019-20,,01/02/2020,296
Richarlison de Andrade,2019-20,100.0,01/02/2020,150
Riyad Mahrez,2019-20,100.0,02/02/2020,217
Robbie Brady,2019-20,100.0,02/02/2020,98
Robert Kenedy Nunes do Nascimento,2019-20,,01/02/2020,462
Roberto Firmino,2019-20,100.0,01/02/2020,187
Roberto Jimenez Gago,2019-20,,01/02/2020,450
Roberto Pereyra,2019-20,100.0,01/02/2020,369
Robert Elliot,2019-20,100.0,01/02/2020,573
Robert Snodgrass,2019-20,100.0,01/02/2020,393
Rob Holding,2019-20,100.0,02/02/2020,10
Rodrigo Hernandez,2019-20,100.0,02/02/2020,443
Rolando Aarons,2019-20,100.0,01/02/2020,499
Romain Saïss,2019-20,100.0,01/02/2020,407
Romelu Lukaku,2019-20,,01/02/2020,232
Ross Barkley,2019-20,100.0,01/02/2020,117
Ruben Loftus-Cheek,2019-20,,01/02/2020,115
Rui Pedro dos Santos Patrício,2019-20,100.0,01/02/2020,411
Ryan Bennett,2019-20,100.0,01/02/2020,404
Ryan Bertrand,2019-20,100.0,01/02/2020,305
Ryan Fraser,2019-20,100.0,01/02/2020,75
Ryan Fredericks,2019-20,,01/02/2020,380
Ryan Giles,2019-20,100.0,01/02/2020,607
Ryan Sessegnon,2019-20,100.0,02/02/2020,524
Rúben Diogo da Silva Neves,2019-20,100.0,01/02/2020,414
Rúben Gonçalo Silva Nascimento Vinagre,2019-20,,01/02/2020,406
Sadio Mané,2019-20,25.0,01/02/2020,192
Sam Byram,2019-20,100.0,01/02/2020,454
Sam Gallagher,2019-20,,01/02/2020,316
Sam Surridge,2019-20,100.0,01/02/2020,71
Sam Woods,2019-20,,01/02/2020,578
Sander Berge,2019-20,,01/02/2020,621
Scott Carson,2019-20,100.0,02/02/2020,562
Scott Dann,2019-20,100.0,01/02/2020,127
Scott McTominay,2019-20,,01/02/2020,248
Sead Kolasinac,2019-20,,02/02/2020,3
Seamus Coleman,2019-20,100.0,01/02/2020,144
Sean Longstaff,2019-20,100.0,01/02/2020,270
Sebastian Prödl,2019-20,,01/02/2020,361
Serge Aurier,2019-20,100.0,02/02/2020,336
Sergio Agüero,2019-20,100.0,02/02/2020,210
Sergio Romero,2019-20,100.0,01/02/2020,236
Shane Duffy,2019-20,,01/02/2020,37
Shane Long,2019-20,100.0,01/02/2020,315
Shkodran Mustafi,2019-20,25.0,02/02/2020,1
Simon Francis,2019-20,100.0,01/02/2020,62
Simon Mignolet,2019-20,,01/02/2020,190
Simon Moore,2019-20,100.0,01/02/2020,436
Sofiane Boufal,2019-20,100.0,01/02/2020,508
Sokratis Papastathopoulos,2019-20,100.0,02/02/2020,5
Solomon March,2019-20,100.0,01/02/2020,55
Stephen Henderson,2019-20,100.0,01/02/2020,556
Steven Alzate,2019-20,100.0,01/02/2020,537
Steven Bergwijn,2019-20,100.0,02/02/2020,615
Steven Defour,2019-20,,02/02/2020,99
Steve Cook,2019-20,100.0,01/02/2020,58
Stuart Armstrong,2019-20,,01/02/2020,323
Sung-yueng Ki,2019-20,,01/02/2020,268
Sébastien Haller,2019-20,100.0,01/02/2020,457
Tahith Chong,2019-20,100.0,01/02/2020,249
Takumi Minamino,2019-20,100.0,01/02/2020,590
Tammy Abraham,2019-20,50.0,01/02/2020,460
Tanguy Ndombele,2019-20,100.0,02/02/2020,442
Tariq Lamptey,2019-20,100.0,01/02/2020,586
Taylor Perry,2019-20,100.0,01/02/2020,560
Teemu Pukki,2019-20,100.0,01/02/2020,278
Theo Walcott,2019-20,100.0,01/02/2020,153
Thomas Allan,2019-20,100.0,01/02/2020,598
Timm Klose,2019-20,,01/02/2020,272
Tim Krul,2019-20,100.0,01/02/2020,280
Toby Alderweireld,2019-20,100.0,02/02/2020,331
Todd Cantwell,2019-20,75.0,01/02/2020,287
Tomas Soucek,2019-20,100.0,01/02/2020,616
Tom Cleverley,2019-20,,01/02/2020,371
Tom Davies,2019-20,100.0,01/02/2020,154
Tom Heaton,2019-20,,01/02/2020,94
Tom Trybull,2019-20,100.0,01/02/2020,290
Trent Alexander-Arnold,2019-20,100.0,01/02/2020,182
Troy Deeney,2019-20,100.0,01/02/2020,362
Troy Parrott,2019-20,100.0,02/02/2020,509
Tudor Baluta,2019-20,,01/02/2020,536
Tyreece John-Jules,2019-20,,02/02/2020,585
Tyreke Johnson,2019-20,,01/02/2020,326
Tyrick Mitchell,2019-20,100.0,01/02/2020,579
Tyrone Mings,2019-20,100.0,01/02/2020,445
Valentino Lazaro,2019-20,100.0,01/02/2020,614
Vicente Guaita,2019-20,100.0,01/02/2020,131
Victor Lindelöf,2019-20,100.0,01/02/2020,225
Victor Wanyama,2019-20,100.0,02/02/2020,348
Vincent Janssen,2019-20,,02/02/2020,339
Virgil van Dijk,2019-20,100.0,01/02/2020,183
Víctor Camarasa,2019-20,,01/02/2020,510
Wayne Hennessey,2019-20,100.0,01/02/2020,132
Wesley Hoedt,2019-20,,01/02/2020,485
Wesley Moraes,2019-20,,01/02/2020,428
Wes Morgan,2019-20,,01/02/2020,165
Wilfred Ndidi,2019-20,100.0,01/02/2020,176
Wilfried Zaha,2019-20,100.0,01/02/2020,133
William Smallbone,2019-20,100.0,01/02/2020,584
Willian Borges Da Silva,2019-20,100.0,01/02/2020,113
Willy Boly,2019-20,100.0,01/02/2020,405
Willy Caballero,2019-20,100.0,01/02/2020,112
Will Hughes,2019-20,100.0,01/02/2020,370
Will Norris,2019-20,,01/02/2020,413
Winston Reid,2019-20,100.0,01/02/2020,383
Xherdan Shaqiri,2019-20,50.0,01/02/2020,194
Yan Valery,2019-20,100.0,01/02/2020,306
Yerry Mina,2019-20,100.0,01/02/2020,142
Yoshinori Muto,2019-20,,01/02/2020,260
Youri Tielemans,2019-20,100.0,01/02/2020,448
Yves Bissouma,2019-20,100.0,01/02/2020,53
Çaglar Söyüncü,2019-20,100.0,01/02/2020,164
Ørjan Nyland,2019-20,100.0,01/02/2020,27
Chris Mepham,2019-20,,09/02/2020,61
Paulo Gazzaniga,2019-20,100.0,16/02/2020,341
John Egan,2019-20,100.0,09/02/2020,295
Max Meyer,2019-20,100.0,08/02/2020,136
Fabian Delph,2019-20,,08/02/2020,205
James Justin,2019-20,100.0,14/02/2020,433
Che Adams,2019-20,100.0,15/02/2020,437
Mahmoud Ahmed Ibrahim Hassan,2019-20,100.0,16/02/2020,465
Tyreece John-Jules,2019-20,,16/02/2020,585
Adrian Mariappa,2019-20,100.0,08/02/2020,356
Frederico Rodrigues de Paula Santos,2019-20,100.0,17/02/2020,244
Tanguy Ndombele,2019-20,100.0,16/02/2020,442
Andy Lonergan,2019-20,100.0,15/02/2020,530
Ralf Fahrmann,2019-20,100.0,15/02/2020,449
Dean Henderson,2019-20,100.0,09/02/2020,471
Stephen Henderson,2019-20,100.0,08/02/2020,556
Mario Vrancic,2019-20,100.0,15/02/2020,282
Phil Foden,2019-20,100.0,19/02/2020,220
Callum Slattery,2019-20,,15/02/2020,327
Matteo Darmian,2019-20,,17/02/2020,230
Jetro Willems,2019-20,,16/02/2020,498
Miguel Almirón,2019-20,100.0,16/02/2020,266
Emiliano Buendía,2019-20,100.0,15/02/2020,283
Leander Dendoncker,2019-20,100.0,14/02/2020,420
Paul Dummett,2019-20,,16/02/2020,255
Diogo Jota,2019-20,100.0,14/02/2020,410
James Tarkowski,2019-20,100.0,15/02/2020,84
Martin Dubravka,2019-20,100.0,16/02/2020,262
Nabil Bentaleb,2019-20,100.0,16/02/2020,612
Davinson Sánchez,2019-20,100.0,16/02/2020,333
Sam Surridge,2019-20,100.0,09/02/2020,71
Steven Alzate,2019-20,75.0,08/02/2020,537
Romelu Lukaku,2019-20,,17/02/2020,232
Ryan Fraser,2019-20,100.0,09/02/2020,75
Craig Cathcart,2019-20,100.0,08/02/2020,358
José Heriberto Izquierdo Mena,2019-20,,08/02/2020,51
Lys Mousset,2019-20,100.0,09/02/2020,70
Richarlison de Andrade,2019-20,100.0,08/02/2020,150
Jairo Riedewald,2019-20,100.0,08/02/2020,539
Marcus Rashford,2019-20,,17/02/2020,233
Wes Morgan,2019-20,,14/02/2020,165
Georginio Wijnaldum,2019-20,100.0,15/02/2020,199
Christian Kabasele,2019-20,100.0,08/02/2020,354
Sergio Agüero,2019-20,100.0,19/02/2020,210
Willy Boly,2019-20,100.0,14/02/2020,405
Ignacio Pussetto,2019-20,100.0,08/02/2020,604
Jordan Henderson,2019-20,100.0,15/02/2020,198
Ben Johnson,2019-20,100.0,19/02/2020,384
Charlie Daniels,2019-20,,09/02/2020,60
Tom Cleverley,2019-20,,08/02/2020,371
Owen Otasowie,2019-20,100.0,14/02/2020,566
Ben Mee,2019-20,100.0,15/02/2020,83
Beram Kayal,2019-20,50.0,08/02/2020,56
Reiss Nelson,2019-20,50.0,16/02/2020,489
Cheikhou Kouyaté,2019-20,100.0,08/02/2020,139
Kurt Zouma,2019-20,100.0,17/02/2020,459
Bernard Ashley-Seal,2019-20,,14/02/2020,559
Florian Lejeune,2019-20,100.0,16/02/2020,257
Arnaut Danjuma Groeneveld,2019-20,,09/02/2020,492
Mohamed Elyounoussi,2019-20,,15/02/2020,322
Marcos Rojo,2019-20,,17/02/2020,227
Mesut Özil,2019-20,100.0,16/02/2020,15
Carlos Sánchez,2019-20,100.0,19/02/2020,397
Mason Holgate,2019-20,100.0,08/02/2020,478
Rodrigo Hernandez,2019-20,100.0,19/02/2020,443
Borja González Tomás,2019-20,100.0,16/02/2020,623
Oumar Niasse,2019-20,100.0,08/02/2020,570
Phil Jagielka,2019-20,100.0,09/02/2020,444
Vicente Guaita,2019-20,100.0,08/02/2020,131
Willian Borges Da Silva,2019-20,100.0,17/02/2020,113
Steven Defour,2019-20,,15/02/2020,99
Ilkay Gündogan,2019-20,100.0,19/02/2020,222
Joseph Willock,2019-20,100.0,16/02/2020,490
Matthew Clarke,2019-20,,08/02/2020,43
Dominic Calvert-Lewin,2019-20,100.0,08/02/2020,147
Heung-Min Son,2019-20,100.0,16/02/2020,342
Eric Bailly,2019-20,100.0,17/02/2020,228
Bailey Peacock-Farrell,2019-20,100.0,15/02/2020,495
Mohamed Salah,2019-20,100.0,15/02/2020,191
Pontus Dahlberg,2019-20,,08/02/2020,367
Asmir Begovic,2019-20,,09/02/2020,72
Christian Fuchs,2019-20,100.0,14/02/2020,163
Harry Wilson,2019-20,100.0,09/02/2020,505
Rhu-endly Martina,2019-20,100.0,08/02/2020,577
Richairo Zivkovic,2019-20,100.0,09/02/2020,622
Albian Ajeti,2019-20,100.0,19/02/2020,514
Glenn Murray,2019-20,100.0,08/02/2020,44
Sebastian Prödl,2019-20,,08/02/2020,361
Riyad Mahrez,2019-20,100.0,19/02/2020,217
Fabián Balbuena,2019-20,100.0,19/02/2020,382
Ben Gibson,2019-20,75.0,15/02/2020,89
Georges-Kévin Nkoudou,2019-20,,16/02/2020,527
Adam Masina,2019-20,100.0,08/02/2020,355
Liam Gibson,2019-20,100.0,16/02/2020,610
Federico Fernández,2019-20,100.0,16/02/2020,254
Hélder Costa,2019-20,,14/02/2020,418
George Baldock,2019-20,100.0,09/02/2020,294
Adrián San Miguel del Castillo,2019-20,100.0,15/02/2020,526
José Diogo Dalot Teixeira,2019-20,100.0,17/02/2020,229
Matthew Longstaff,2019-20,100.0,16/02/2020,540
Wilfred Ndidi,2019-20,75.0,14/02/2020,176
Vincent Janssen,2019-20,,16/02/2020,339
Andre Gray,2019-20,100.0,08/02/2020,364
Nathan Aké,2019-20,100.0,09/02/2020,59
Héctor Bellerín,2019-20,100.0,16/02/2020,2
Lewis Cook,2019-20,100.0,09/02/2020,79
Rob Holding,2019-20,100.0,16/02/2020,10
Jack Rodwell,2019-20,100.0,09/02/2020,591
Artur Boruc,2019-20,100.0,09/02/2020,73
Wilfried Zaha,2019-20,100.0,08/02/2020,133
Lovre Kalinic,2019-20,,16/02/2020,474
